timestamp,interface,probe_host,bandwidth_mbps,rx_mbps,tx_mbps,throughput_mbps,traffic_volume_mb,packet_rate,latency_ms,packet_loss_pct,jitter_ms,bandwidth_utilization_pct,cpu_utilization_pct,memory_utilization_pct,interface_errors,interface_drops,network_available
1788884353.7067132,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3726779962499649,0.0,34.2,87.4,0.0,0.0,1
1788884358.7234719,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37267799624996495,0.0,49.0,88.0,0.0,0.0,1
1788884363.7293694,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37267799624996495,0.0,32.0,88.0,0.0,0.0,1
1788884368.735196,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37267799624996495,0.0,26.6,88.0,0.0,0.0,1
1788884373.7440608,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2763853991962833,0.0,17.1,88.0,0.0,0.0,1
1788884378.7532034,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3726779962499649,0.0,15.8,87.4,0.0,0.0,1
1788884383.7664442,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37267799624996495,0.0,16.5,87.2,0.0,0.0,1
1788884388.775222,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37267799624996495,0.0,15.0,87.0,0.0,0.0,1
1788884393.7799718,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37267799624996495,0.0,23.6,87.4,0.0,0.0,1
1788884398.7926927,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.372677996249965,0.0,22.8,87.8,0.0,0.0,1
1788884403.7997043,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.372677996249965,0.0,21.8,87.9,0.0,0.0,1
1788884408.80117,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4330127018922193,0.0,34.9,88.1,0.0,0.0,1
1788884413.8163779,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37267799624996495,0.0,22.6,88.0,0.0,0.0,1
1788884418.833057,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.8620067027323833,0.0,24.3,87.6,0.0,0.0,1
1788884423.8367276,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8620067027323832,0.0,29.5,87.6,0.0,0.0,1
1788884428.8524458,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8660254037844386,0.0,46.2,87.9,0.0,0.0,1
1788884433.866176,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8660254037844386,0.0,27.3,88.9,0.0,0.0,1
1788884438.8815506,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8620067027323832,0.0,28.2,88.3,0.0,0.0,1
1788884443.8887846,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8620067027323832,0.0,18.6,88.1,0.0,0.0,1
1788884448.8987508,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8620067027323832,0.0,18.9,87.3,0.0,0.0,1
1788884453.8997924,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8620067027323832,0.0,14.0,87.1,0.0,0.0,1
1788884458.9103234,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8620067027323832,0.0,18.1,86.7,0.0,0.0,1
1788884463.912193,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8620067027323832,0.0,16.6,86.5,0.0,0.0,1
1788884468.9171753,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8620067027323832,0.0,15.0,86.4,0.0,0.0,1
1788884473.9251957,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8620067027323832,0.0,26.0,87.0,0.0,0.0,1
1788884478.9333968,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37267799624996495,0.0,16.9,86.8,0.0,0.0,1
1788884483.9421387,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37267799624996495,0.0,20.4,87.3,0.0,0.0,1
1788884488.9425037,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2763853991962833,0.0,25.5,87.9,0.0,0.0,1
1788884493.9502306,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2763853991962833,0.0,26.5,87.8,0.0,0.0,1
1788884498.958642,vEthernet (Default Switch),fe80::7624:9fff:fea9:e2b7%14,4294.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2763853991962833,0.0,22.9,87.8,0.0,0.0,1
